"dat$maleBool";"s_fndly";"s_flirt";"s_awk";"s_assert";"o_fndly";"o_flirt";"o_awk";"o_assert";"o_attrct";"o_sincre";"o_intell";"o_funny";"o_ambits";"o_crteos";"sortOf";"kindOf";"iGuess";"iThink";"aLittle";"maybe";"possibly";"probably";"speeddate";"flirt";"event";"dating";"rating";"work";"program";"phd";"research";"professor";"advisor";"finish";"like";"iMean";"youKnow";"uh";"um";"syll_word";"syll_turn";"hedge";"academics";"funct";"pronoun";"ppron";"i";"we";"you";"shehe";"they";"ipron";"article";"verb";"auxverb";"past";"present";"future";"adverb";"preps";"conj";"negate";"quant";"number";"swear";"social";"family";"friend";"humans";"affect";"posemo";"negemo";"anx";"anger";"sad";"cogmech";"insight";"cause";"discrep";"tentat";"certain";"inhib";"incl";"excl";"percept";"see";"hear";"feel";"bio";"body";"health";"sexual";"ingest";"relativ";"motion";"space";"time";"work.1";"achieve";"leisure";"home";"money";"relig";"death";"assent";"nonfl";"filler";"Other.funct";"Other.pronoun";"Other.ppron";"Other.i";"Other.we";"Other.you";"Other.shehe";"Other.they";"Other.ipron";"Other.article";"Other.verb";"Other.auxverb";"Other.past";"Other.present";"Other.future";"Other.adverb";"Other.preps";"Other.conj";"Other.negate";"Other.quant";"Other.number";"Other.swear";"Other.social";"Other.family";"Other.friend";"Other.humans";"Other.affect";"Other.posemo";"Other.negemo";"Other.anx";"Other.anger";"Other.sad";"Other.cogmech";"Other.insight";"Other.cause";"Other.discrep";"Other.tentat";"Other.certain";"Other.inhib";"Other.incl";"Other.excl";"Other.percept";"Other.see";"Other.hear";"Other.feel";"Other.bio";"Other.body";"Other.health";"Other.sexual";"Other.ingest";"Other.relativ";"Other.motion";"Other.space";"Other.time";"Other.work.1";"Other.achieve";"Other.leisure";"Other.home";"Other.money";"Other.relig";"Other.death";"Other.assent";"Other.nonfl";"Other.filler"
"525";0;8;3;7;8;10;3;8;7;3;10;10;3;10;10;0;2;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;10;1;1;0;1;1.7012987012987;7.82089552238806;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;1;0;1;0;0;0;0;5;0;4;0;0;0;1;0;1;0;2;3;0;0;0;0;0;0;6;0;0;0;1;4;0;1;2;0;0;2;0;0;0;1;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;2;1;0;0;0;0;0;0;2;1;5;0;0;0;0;0;6;1;1;3;0;0;1;0;0;0;3;0;0;0;1;6;0;1;1;0;1;2;0;0
"526";0;7;5;4;6;8;6;3;7;4;8;8;9;7;7;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0;1.73076923076923;6.71641791044776;2;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;1;0;0;1;0;3;0;0;0;0;0;2;1;0;3;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;1;2;1;0;4;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;1;0;0
"527";0;7;5;5;7;6;5;7;4;4;8;8;5;7;8;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;2;1;0;0;1.73537604456825;6.29292929292929;5;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0;0;3;0;1;0;0;0;1;0;2;0;0;3;0;0;0;0;1;0;3;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;2;0;0;1;0;0;2;0;0;0;0;1;0;0;2;0;3;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;4;0;0;0;1;1;0;1;0;0;0;0;0;0
"528";0;8;6;4;7;8;5;3;6;4;6;7;6;7;8;1;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;5;3;0;0;1.63487738419619;8.57142857142857;4;1;0;1;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;3;0;3;1;0;0;1;0;1;0;1;4;0;0;0;0;0;0;3;0;0;0;0;4;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;4;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;3;0;1;0;0;2;1;0;0
"529";0;7;5;4;5;7;4;5;4;7;8;7;4;7;8;0;1;0;1;1;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;3;0;5;0;0;1.77960526315789;6.7625;5;3;0;3;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;2;0;1;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;1;1;0;1;0;0;3;0;2;0;0;0;0;0;4;0;0;1;0;1;0;0;0;0;5;0;0;0;1;0;0;1;0;0;0;0;0;0
"530";0;7;4;5;6;5;3;7;6;5;6;7;3;9;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;1;1;1;0;1.85909090909091;6.390625;2;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;1;0;0;0;0;0
"531";0;6;4;5;6;7;4;8;5;6;8;8;3;8;8;0;1;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;1;0;0;0;1.7345971563981;5.80952380952381;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;1;1;1;0;1;0;0;4;0;2;1;0;0;0;0;4;1;0;2;0;0;0;0;0;0;6;0;0;0;2;2;0;1;0;0;0;1;0;0
"532";0;8;6;4;6;10;7;4;7;4;5;5;10;6;10;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;1.78606965174129;5.88524590163934;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;2;0;0;0;1;2;1;0;0;0;1;1;0;0;0;0;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;1;0;0;0;0;0;1;1;2;2;0;0;0;0;4;0;1;2;0;0;2;0;0;0;2;0;0;0;1;0;1;1;0;0;0;1;0;0
"533";0;7;4;6;6;7;3;5;5;5;9;9;3;9;9;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;9;0;2;0;0;1.68235294117647;6.21739130434783;2;2;0;0;0;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;2;0;0;0;1;0;3;0;0;3;0;1;1;0;0;0;4;0;0;0;1;3;0;2;0;0;1;0;0;0;0;0;1;2;0;0;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;3;0;1;0;0;0;0;0;3;0;0;1;0;0;1;0;0;0;4;0;0;0;1;1;0;0;0;0;1;0;0;0
"538";0;8;8;2;5;9;6;3;5;8;7;6;7;6;7;0;1;1;6;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;3;2;4;0;0;1.61042183622829;13.2448979591837;8;4;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;3;0;0;0;0;0;2;1;1;2;0;0;0;1;0;0;4;0;0;0;1;9;0;1;1;0;0;1;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;1;2;0;1;2;0;0;0;0;0;0;4;0;0;0;1;7;0;0;0;0;2;0;0;0
"539";0;6;2;2;2;5;1;10;3;4;5;4;3;3;3;0;2;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;2;6;1;0;1.73595505617978;11.4444444444444;6;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;1;2;0;7;2;0;0;0;0;1;1;0;1;0;0;1;0;0;0;3;0;0;0;0;1;0;0;0;0;1;5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;3;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;4;0;0;0;0;2;0;0;0;0;0;1;0;0
"540";0;5;1;8;2;7;2;9;4;6;5;5;3;5;6;0;4;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;7;1;0;3;2;1.58381502890173;4.60504201680672;8;2;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;3;0;3;0;0;0;0;1;1;0;1;2;0;2;0;0;0;0;3;0;0;0;1;5;0;2;1;0;0;1;0;0;0;1;0;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1;0;1;3;0;0;0;2;0;0;0;0;4;0;1;0;0;0;0;0;0
"541";0;7;3;2;3;9;5;3;4;2;7;6;5;6;8;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;3;0;1;0;0;1.84331797235023;7.54716981132075;4;3;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;4;1;1;4;0;1;1;0;0;0;1;0;0;0;1;5;0;1;1;0;1;0;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;4;0;0;0;0;1;0;0;3;0;7;0;0;0;0;0;4;0;0;3;0;4;0;0;1;0;4;0;0;0;1;10;1;1;0;0;3;2;0;0
"542";0;7;3;3;3;7;2;7;2;4;5;6;2;4;5;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;4;3;2;0;0;1.67477203647416;7.98550724637681;3;2;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;5;0;0;0;0;0;3;1;1;4;0;3;0;0;0;0;2;0;0;0;1;5;0;3;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;3;1;3;0;0;0;0;1;4;1;1;3;0;1;0;0;0;0;4;0;0;0;1;4;0;1;1;0;0;0;0;0
"543";0;7;4;3;4;5;1;9;5;3;5;5;2;4;6;0;4;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;7;0;1;0;0;1.77460317460317;8.87301587301587;5;2;0;1;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;0;4;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;3;0;0;0;1;6;0;1;0;0;1;2;0;0;0;1;1;2;1;2;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;4;0;2;0;0;0;0;0;5;0;1;1;0;0;0;0;0;0;4;0;0;0;0;4;0;1;0;0;0;1;0;0
"544";0;8;5;3;4;8;5;3;6;8;6;7;6;7;6;0;4;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;5;3;3;3;5;1.63270142180095;5.4251968503937;8;3;0;2;2;3;1;0;4;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;1;2;1;0;1;0;1;3;1;2;0;0;0;0;0;5;1;1;4;0;2;0;0;0;0;5;0;0;0;0;3;0;1;1;0;0;0;0;0;0;3;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;6;0;3;0;0;0;1;0;2;0;0;3;0;1;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;2;0;0
"545";0;6;5;4;3;7;4;7;5;3;5;6;6;5;6;0;4;1;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0;1.62464985994398;8.92307692307692;12;0;0;1;0;1;2;1;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;0;7;1;1;2;0;0;1;0;0;0;4;0;0;0;1;5;0;0;1;0;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;3;0;2;1;0;0;0;0;3;0;0;2;0;1;0;1;0;0;4;0;0;0;1;3;0;2;0;0;0;0;0;0
"546";0;8;5;3;5;8;3;6;3;2;4;7;5;6;7;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;1.65722379603399;10.0862068965517;4;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;5;1;3;0;0;0;1;0;8;5;0;5;0;0;0;0;1;0;6;0;0;0;0;5;0;2;0;0;1;1;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;2;0;3;1;1;4;0;0;0;0;0;0;4;0;0;0;1;2;0;1;0;0;0;0;0;0
"547";0;8;3;4;3;9;2;2;4;3;6;6;4;5;7;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13;1;0;5;5;1.50189393939394;5.35810810810811;6;1;0;2;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;3;0;5;0;0;0;0;1;3;1;1;4;0;2;1;0;0;0;4;0;0;0;1;5;0;2;1;0;1;3;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;3;0;2;1;0;0;0;1;3;0;0;1;0;1;1;1;0;0;4;0;0;0;1;6;0;0;0;0;1;1;0;0
"548";0;8;6;3;6;8;5;4;5;5;7;6;4;5;6;0;1;1;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;0;0;1.64684014869888;6.42028985507246;5;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;1;0;0;3;0;1;0;0;1;0;2;0;0;0;1;3;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;1;0;0;0;0;0;3;1;0;2;0;0;0;0;0;0;3;0;0;0;1;2;0;0;0;0;1;1;0;0
"549";0;5;4;7;5;6;4;10;2;8;3;3;2;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;0;1.80861244019139;6.40677966101695;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;3;1;0;1;0;1;0;0;0;0;3;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;3;2;0;0;0;0;2;1;0;2;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;2;0;0
"550";0;8;7;2;5;9;6;3;5;7;7;6;7;6;7;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;1;0;1.71287128712871;5.01449275362319;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;2;1;1;2;0;0;0;1;1;0;2;0;0;0;0;4;0;0;1;0;1;0;0;0;0;1;1;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3;1;1;1;0;1;0;1;2;0;3;0;0;0;0;1;6;0;0;3;0;0;0;1;1;0;3;0;0;0;3;6;0;0;0;0;1;0;0;0
"551";0;7;4;6;3;7;3;8;5;5;6;5;5;5;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;1;0;1.91208791208791;6.56603773584906;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;1;0;1;2;0;1;0;0;0;0;3;0;0;0;0;3;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;1;0;1;2;0;1;0;0;0;0;2;0;0;0;0;4;0;2;1;0;0;0;0;0
"552";0;6;3;7;6;8;3;5;4;5;7;7;5;6;7;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;1.68636363636364;5.08219178082192;2;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4;0;2;0;0;0;0;1;2;1;1;3;0;1;1;0;0;0;4;0;0;0;0;5;0;1;0;0;1;1;0;0;0;1;1;2;0;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;5;0;7;0;0;0;0;0;4;1;0;4;0;1;1;0;0;0;5;0;0;0;0;9;0;3;0;0;1;0;0;0
"554";0;9;1;2;7;9;1;6;7;4;10;9;5;9;10;0;1;0;2;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;1;5;2;0;1.58316221765914;9.6375;6;1;0;1;1;3;1;1;0;0;0;1;0;0;0;0;1;0;0;0;2;0;1;1;0;0;1;0;1;0;0;1;0;0;6;0;2;1;0;0;1;0;3;0;0;2;0;1;2;0;0;0;8;0;0;0;1;3;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;3;0;0;1;0;1;0;0;0;0;3;0;0;0;1;2;0;0;0;0;0;2;0;0
"555";0;8;1;2;6;4;8;10;8;7;7;7;3;8;8;0;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;9;2;0;0;0;1.68111455108359;6.7875;3;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;3;0;2;0;0;0;1;0;1;0;1;2;0;1;0;0;0;0;4;0;0;0;1;3;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;2;0;3;0;0;0;0;0;3;1;1;2;0;0;0;0;0;0;3;0;0;0;0;3;0;1;1;0;0;1;0;0
"556";0;9;1;2;8;10;2;1;8;2;10;10;10;10;10;0;0;0;2;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;15;4;2;1;0;1.60769230769231;7.55421686746988;2;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;1;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;3;0;0;4;0;2;0;0;0;1;0;3;2;0;2;0;0;0;0;0;0;5;0;0;0;1;2;0;1;0;0;1;1;0;0
"557";0;6;1;3;5;6;3;7;6;2;7;8;4;8;7;0;1;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;11;0;1;1;1;1.51156069364162;6.45679012345679;4;3;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;1;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;3;1;1;0;0;1;0;0;2;0;4;1;0;0;0;2;0;0;1;1;0;0;1;0;0;0;3;0;0;0;0;2;0;1;1;0;1;0;0;0
"558";0;9;1;2;7;9;1;4;7;5;9;10;7;9;10;0;2;0;6;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;11;6;3;0;0;1.66923076923077;7.65882352941177;10;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;2;0;1;1;0;2;0;0;4;0;3;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;6;0;0;0;1;4;0;1;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;2;0;0;1;0;0;2;0;4;0;0;0;0;1;3;0;1;3;0;0;0;0;0;0;2;0;0;0;1;5;0;0;0;0;1;1;0;0
"559";0;8;1;5;5;8;4;7;6;4;8;8;4;6;8;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;11;1;1;2;0;1.59214501510574;6.12790697674419;2;2;0;1;1;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;2;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;2;0;0;0;0;0;0;3;0;0;0;0;4;0;0;1;0;0;0;0;0;0;2;1;3;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;4;0;3;0;0;0;0;0;3;0;0;2;0;1;1;0;0;0;4;0;0;0;1;1;0;0;0;0;0;2;0;0
"561";0;6;7;3;5;8;1;1;5;10;7;10;7;7;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;11;1;6;0;0;1.54285714285714;16;1;2;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;1;0;5;0;0;0;0;0;4;2;0;1;0;0;0;0;1;0;2;0;0;0;1;4;0;1;0;0;1;1;0;0;0;1;1;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;1;1;1;0;1;0;1;3;0;2;1;0;0;0;0;8;2;1;4;0;0;0;0;1;0;4;0;0;0;2;5;0;0;0;0;0;0;0;0
"563";0;7;3;5;6;4;1;5;2;7;4;4;3;2;5;0;0;0;2;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;2;1;0;1.4985590778098;7.02702702702703;5;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;2;0;0;0;0;2;0;0;5;0;2;1;0;0;1;0;1;0;0;3;0;1;0;0;1;0;6;0;0;0;1;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;3;0;0;2;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0;3;0;0;0;2;4;0;1;0;0;0;0;0;0
"564";0;8;5;2;5;9;4;5;4;10;10;10;9;7;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;1;2;1;0;1.64044943820225;4.05555555555556;1;2;0;0;1;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;1;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;1;1;0;0;0;1;0;0;3;0;0;0;1;7;0;0;1;0;1;0;0;0;1;0;1;1;0;1;3;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;4;0;3;1;0;0;1;0;7;1;0;7;0;1;0;1;0;0;5;0;0;0;3;8;0;0;0;0;2;2;0;0
"565";0;7;6;5;4;8;2;6;5;6;7;5;4;9;7;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;15;1;3;0;0;1.70552147239264;7.51351351351351;1;3;0;1;1;1;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;3;1;0;1;0;1;0;0;1;0;0;5;0;2;3;0;0;0;0;6;0;0;3;0;1;0;0;1;0;5;0;0;0;2;8;0;0;0;0;2;1;0;0;0;0;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;1;0;0;3;0;3;0;0;0;0;0;5;0;0;1;0;0;0;0;1;0;3;0;0;0;2;6;0;1;0;0;1;0;0;0
"566";0;5;4;5;3;8;3;2;7;6;5;8;4;7;5;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;2;4;1;0;1.62820512820513;6.68421052631579;5;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;3;1;0;4;0;0;0;0;0;0;6;0;0;0;1;15;0;0;0;0;2;0;0;0;0;0;1;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;2;0;1;1;0;0;0;0;7;2;0;5;0;0;0;0;0;0;3;0;0;0;1;15;0;0;0;0;2;0;0;0
"567";0;6;4;5;6;6;3;6;4;7;8;10;7;6;9;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;12;1;7;0;0;1.59756097560976;11.9090909090909;2;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;1;0;0;0;0;3;0;4;0;0;0;0;0;6;2;1;4;0;2;0;0;0;0;4;0;0;0;2;10;0;1;2;0;1;1;0;0;0;0;1;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3;0;0;0;1;1;0;0;2;0;0;3;0;1;3;0;0;0;1;5;2;0;3;0;2;0;0;1;0;4;0;0;0;1;2;0;1;1;0;0;0;0;0
