"dat$maleBool";"s_fndly";"s_flirt";"s_awk";"s_assert";"o_fndly";"o_flirt";"o_awk";"o_assert";"o_attrct";"o_sincre";"o_intell";"o_funny";"o_ambits";"o_crteos";"sortOf";"kindOf";"iGuess";"iThink";"aLittle";"maybe";"possibly";"probably";"speeddate";"flirt";"event";"dating";"rating";"work";"program";"phd";"research";"professor";"advisor";"finish";"like";"iMean";"youKnow";"uh";"um";"syll_word";"syll_turn";"hedge";"academics";"funct";"pronoun";"ppron";"i";"we";"you";"shehe";"they";"ipron";"article";"verb";"auxverb";"past";"present";"future";"adverb";"preps";"conj";"negate";"quant";"number";"swear";"social";"family";"friend";"humans";"affect";"posemo";"negemo";"anx";"anger";"sad";"cogmech";"insight";"cause";"discrep";"tentat";"certain";"inhib";"incl";"excl";"percept";"see";"hear";"feel";"bio";"body";"health";"sexual";"ingest";"relativ";"motion";"space";"time";"work.1";"achieve";"leisure";"home";"money";"relig";"death";"assent";"nonfl";"filler";"Other.funct";"Other.pronoun";"Other.ppron";"Other.i";"Other.we";"Other.you";"Other.shehe";"Other.they";"Other.ipron";"Other.article";"Other.verb";"Other.auxverb";"Other.past";"Other.present";"Other.future";"Other.adverb";"Other.preps";"Other.conj";"Other.negate";"Other.quant";"Other.number";"Other.swear";"Other.social";"Other.family";"Other.friend";"Other.humans";"Other.affect";"Other.posemo";"Other.negemo";"Other.anx";"Other.anger";"Other.sad";"Other.cogmech";"Other.insight";"Other.cause";"Other.discrep";"Other.tentat";"Other.certain";"Other.inhib";"Other.incl";"Other.excl";"Other.percept";"Other.see";"Other.hear";"Other.feel";"Other.bio";"Other.body";"Other.health";"Other.sexual";"Other.ingest";"Other.relativ";"Other.motion";"Other.space";"Other.time";"Other.work.1";"Other.achieve";"Other.leisure";"Other.home";"Other.money";"Other.relig";"Other.death";"Other.assent";"Other.nonfl";"Other.filler"
"22";1;6;7;1;10;6;7;8;8;6;7;8;7;9;8;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;2;1.53378378378378;5.60493827160494;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;3;0;1;3;0;0;0;1;0;1;0;0;0;0;1;1;2;0;0;0;0;2;4;0;0;1;0;1;0;0;0;0;4;0;0;0;0;4;1;1;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;3;0;0;5;0;0;1;1;0;1;0;0;0;0;4;0;3;2;0;0;0;3;5;1;1;3;0;2;0;0;0;0;7;0;0;0;2;8;0;1;1;1;3;1;0;0
"23";1;7;6;5;9;8;9;9;6;6;7;7;6;6;6;0;2;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0;0;1;2;1.46575342465753;7.25423728813559;4;1;0;2;2;2;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;1;0;2;2;0;0;1;2;2;0;1;3;0;0;0;0;0;0;1;0;0;0;1;4;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;1;1;0;0;0;1;0;0;2;0;3;2;0;0;1;1;3;0;1;4;0;1;0;0;1;0;2;0;0;0;0;3;0;1;1;0;1;1;0;0
"24";1;8;8;4;9;8;8;8;8;9;8;9;9;9;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;9;0;0;2;2;1.72519083969466;4.70833333333333;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;2;0;0;1;1;0;1;0;0;0;0;2;0;4;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;4;0;0;0;1;5;0;0;0;1;0;3;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;4;1;0;1;0;0;0;0;0;0;1;3;1;3;1;0;0;0;1;1;0;0;4;0;3;0;0;0;0;5;0;0;0;0;7;2;1;0;0;0;1;0;0
"25";1;9;3;8;1;10;2;3;2;9;10;9;9;8;9;0;3;1;2;0;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;19;0;0;2;15;1.40142517814727;6.86046511627907;7;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;3;0;2;0;0;0;0;0;1;0;1;0;0;4;0;0;2;0;4;0;0;0;1;2;0;2;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;2;0;0;2;0;5;0;0;0;0;0;4;0;0;3;0;5;0;0;2;0;3;0;0;0;1;4;0;3;0;0;2;2;0;0
"26";1;10;1;6;4;7;5;7;6;5;4;5;5;4;3;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;10;0;1;3;4;1.48677248677249;7.2987012987013;5;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;1;0;0;1;0;0;1;0;4;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;3;0;0;0;0;0;0;0;2;0;4;0;0;0;1;1;2;0;1;4;0;0;0;0;0;0;3;0;0;0;2;4;0;0;1;0;0;1;0;0
"28";1;10;7;4;3;9;7;7;6;9;8;8;8;7;8;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;6;1.53866666666667;4.27407407407407;4;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;1;1;0;1;0;0;2;0;3;1;0;0;1;1;0;0;0;3;0;0;1;0;1;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;1;0;0;0
"29";1;10;9;10;9;9;9;9;9;9;8;9;9;9;9;0;0;0;3;2;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;10;0;0;14;1;1.44791666666667;4.51298701298701;5;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;2;1;0;2;0;0;2;0;2;0;0;4;0;5;1;0;0;0;2;0;0;0;1;0;2;0;0;1;0;7;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;4;0;0;5;1;1;0;0;1;0;0;3;0;7;1;0;0;0;3;2;0;1;2;0;1;0;0;0;0;4;0;0;0;1;2;0;0;1;0;0;2;0;0
"30";1;6;6;6;6;5;5;5;5;4;4;3;3;3;3;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;1.55405405405405;5.34883720930233;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;1;0;1;0;0;0;0;3;0;3;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;5;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1;2;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;2;0;0;0;0;0;3;0;7;0;0;0;0;0;3;1;1;3;0;1;0;0;0;0;4;0;0;0;1;7;0;0;0;0;2;2;0;0
"31";1;4;4;4;4;2;2;2;2;3;3;3;3;3;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;3;1;8;0;1.52559726962457;5.80519480519481;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;1;0;0;0
"32";1;9;9;9;10;8;9;9;9;10;8;8;9;10;10;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1.49593495934959;5.93548387096774;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;3;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;4;0;2;0;0;0;1;1;3;1;1;3;0;0;0;1;0;0;4;0;0;0;0;4;0;1;0;0;0;0;0;0
