selfid,otherid,Order,Audio,met,willng,timemtch,s_fndly,s_flirt,s_awk,s_assert,o_fndly,o_flirt,o_awk,o_assert,o_attrct,o_sincre,o_intell,o_funny,o_ambits,o_crteos,enjoy,shared,clicked
325,306,18,1,1,0,2,8,4,4,4,8,5,7,5,4,7,3,3,4,8,4,4,4
325,307,17,1,1,1,2,8,8,4,4,8,8,8,8,6,4,7,7,5,5,6,6,6
325,308,16,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
325,309,15,1,1,0,2,8,4,3,3,8,8,8,4,3,3,3,3,3,2,2,2,2
325,310,14,1,1,0,2,8,4,3,4,7,4,3,3,6,3,5,3,8,7,2,2,2
325,311,13,1,1,0,2,8,4,4,4,8,6,3,5,6,6,7,4,5,4,5,5,5
325,312,12,1,1,0,2,8,3,3,3,4,2,2,7,2,2,6,2,9,2,2,2,2
325,313,11,1,1,1,3,8,7,3,3,8,6,3,4,5,8,8,6,6,7,7,7,7
325,314,10,1,1,0,3,8,4,5,3,8,5,3,3,5,4,8,4,9,8,4,4,4
325,315,9,1,1,0,2,8,3,3,4,7,6,3,3,4,2,5,2,9,3,2,2,2
325,316,8,1,1,0,2,7,4,8,4,2,2,2,9,4,3,2,2,9,5,3,3,3
325,317,7,1,1,1,3,8,5,2,3,8,6,3,3,6,9,9,.,9,.,8,8,8
325,318,6,1,1,0,3,9,5,5,4,8,4,4,5,4,8,9,5,7,8,5,5,3
326,301,6,1,1,0,3,9,1,1,1,9,2,1,1,5,7,2,3,3,9,5,5,3
326,302,5,1,1,0,2,9,1,4,1,9,2,6,1,5,8,9,1,9,9,3,1,2
326,303,4,1,1,0,3,9,2,2,1,9,2,2,5,5,4,7,1,9,9,3,1,2
326,304,3,1,1,0,5,9,2,2,1,9,3,3,1,6,8,7,1,4,9,5,2,3
326,305,2,1,1,0,2,8,1,7,1,9,2,2,5,1,8,8,8,8,9,3,1,1
326,306,1,1,1,0,3,10,1,5,1,10,4,8,1,3,7,8,1,7,9,4,1,2
326,307,18,1,1,1,5,9,2,1,1,9,1,1,1,8,6,6,6,6,9,2,1,4
326,308,17,1,1,1,7,9,1,1,1,9,1,1,1,7,6,7,7,10,9,6,3,2
326,309,16,1,1,0,1,9,1,1,1,9,1,4,1,2,5,10,1,9,8,2,1,2
326,310,15,1,1,0,3,9,1,1,1,9,1,1,1,6,5,8,5,10,9,3,1,2
326,311,14,1,1,0,2,9,1,1,1,9,1,1,1,1,5,3,2,2,7,1,1,1
326,312,13,1,1,1,5,9,2,2,1,9,2,2,1,5,5,7,8,7,9,6,10,6
326,313,12,1,1,0,2,9,1,1,1,9,1,1,1,4,6,9,9,7,9,5,2,5
326,314,11,1,1,0,3,9,2,1,1,9,2,2,2,6,8,10,10,10,9,5,1,2
326,315,10,1,1,0,2,9,2,1,1,9,2,1,1,6,3,6,1,10,9,4,2,2
326,316,9,1,1,1,5,9,3,3,1,9,2,1,5,8,6,8,9,9,9,7,5,5.5
326,317,8,1,1,0,4,9,1,1,1,9,1,1,1,4,6,9,9,9,9,7,5,3
326,318,7,1,1,0,1,9,1,7,1,8,1,10,1,1,4,9,1,2,9,1,1,1
327,301,6,1,1,0,2,9,5,1,3,9,3,2,3,4,7,7,7,6,5,7,7,4
327,302,5,1,4,0,1,8,3,1,3,8,3,1,2,6,7,8,7,6,8,5,6,4
327,303,4,1,1,1,3,9,8,3,4,8,7,2,7,7,7,7,7,7,7,7,6,5
327,304,3,1,1,.,2,8,3,4,5,7,4,4,4,3,6,.,.,.,.,.,.,.
327,305,2,1,1,0,2,8,5,1,4,8,7,1,4,3,8,8,7,6,8,6,6,4
327,306,1,1,1,1,3,9,6,2,5,8,6,2,4,6,7,8,7,7,8,6,4,7
327,307,18,1,1,1,4,9,7,3,6,9,8,2,6,8,8,7,6,7,8,8,6,7
327,308,17,1,1,1,2,10,9,1,3,10,9,1,3,9,9,9,9,9,9,9,9,9
327,309,16,1,1,0,2,7,2,1,4,8,2,4,1,3,6,7,3,5,7,3,2,3
327,310,15,1,1,1,3,9,7,1,3,9,8,1,3,8,8,8,8,8,8,8,9,8
327,311,14,1,1,0,2,8,5,1,2,8,6,2,3,5,7,8,8,7,8,5,4,3
327,312,13,1,1,1,2,9,8,1,4,10,8,1,5,7,7,8,9,8,8,9,7,8
327,313,12,1,2,1,2,8,4,1,4,10,3,1,3,5,8,8,8,5,6,.,.,.
327,314,11,1,.,1,2,10,8,1,3,10,8,1,4,8,8,9,9,9,8,9,9,8
327,315,10,1,1,1,2,10,8,1,3,9,7,1,6,9,8,8,7,8,8,8,7,7
327,316,9,1,1,1,3,10,8,2,3,8,3,1,6,9,6,7,6,7,7,8,8,7
327,317,8,1,1,1,2,10,9,1,4,10,8,1,4,8,8,8,8,7,8,9,7,8
327,318,7,1,1,0,1,8,1,1,1,6,1,6,5,3,7,7,3,5,7,2,2,2
328,301,8,1,1,0,1,9,4,6,5,9,1,5,4,1,7,5,4,1,5,3,3,2
328,302,7,1,1,1,3,8,8,4,4,7,4,4,4,8,7,8,7,5,6,6,5,5
328,303,6,1,1,0,2,8,6,6,5,8,6,3,5,4,3,3,3,3,5,3,5,3
328,304,5,1,1,1,4,9,6,7,5,6,1,4,2,7,7,7,4,5,5,6,5,5
328,305,4,1,1,0,1,9,2,1,7,9,6,4,4,1,5,6,4,5,5,2,5,1
328,306,3,1,1,0,2,9,3,1,6,9,4,5,3,5,7,6,4,5,6,5,7,4
328,307,2,1,3,1,3,8,3,3,3,7,1,1,7,9,8,9,4,9,7,6,9,5
328,308,1,1,1,1,5,9,6,6,2,10,6,2,6,8,8,8,6,6,7,6,6,5
328,309,18,1,1,0,2,9,6,6,3,9,8,4,5,7,7,8,4,5,6,4,4,4
328,310,17,1,3,1,2,10,5,1,6,10,3,1,6,8,8,8,10,8,8,10,7,7
328,311,16,1,1,0,3,7,4,6,6,7,2,7,4,4,7,7,4,6,5,4,4,4
328,312,15,1,1,0,3,7,2,2,4,7,2,2,4,6,4,6,4,6,6,5,6,4
328,313,14,1,1,1,5,9,7,3,7,9,5,5,3,6,8,10,4,6,6,8,8,7
328,314,13,1,1,1,5,9,6,1,7,9,1,1,4,6,7,7,7,6,6,7,7,6
328,315,12,1,4,0,3,5,6,3,6,5,3,5,4,4,2,7,7,7,5,6,7,3
328,316,11,1,.,1,2,10,10,2,10,10,10,1,8,9,4,9,9,9,8,9,9,8
328,317,10,1,1,1,4,9,8,2,7,9,8,2,7,5,7,9,8,6,6,7,7,6
328,318,9,1,1,0,3,7,4,2,4,7,1,6,2,6,7,8,3,5,6,5,3,4
329,301,9,1,1,0,1,7,4,5,3,6,2,3,3,5,7,6,4,5,5,5,5,3
329,302,8,1,3,1,1,9,7,1,4,8,7,3,4,5,8,9,9,5,6,8,8,10
329,303,7,1,1,0,1,8,8,3,5,8,4,4,4,6,6,4,6,6,4,7,6,6
329,304,6,1,1,0,1,7,4,3,6,5,3,8,4,4,8,7,1,3,5,3,4,1
329,305,5,1,1,1,1,9,6,3,3,8,7,3,4,4,7,6,6,4,4,10,10,9
329,306,4,1,1,0,1,7,4,3,7,7,2,4,4,3,8,6,3,3,3,5,4,3
329,307,3,1,1,0,1,8,8,6,6,6,6,3,7,5,6,7,7,8,4,6,6,6
329,308,2,1,1,.,1,8,8,3,8,8,6,6,6,6,6,6,7,6,6,7,5,7
329,309,1,1,2,0,1,4,1,4,6,6,1,4,1,2,.,.,.,.,.,.,.,.
329,310,18,1,3,1,1,8,7,4.5,5,6,6,3,6,6,6,6,6,4,5,7,7,6
329,311,17,1,1,0,1,6,5,4,5,6,4,6,4,4,5,5,6,5,5,5,5,5
329,312,16,1,1,1,1,7,7,4,5,6,6,6,6,5,5,5,5.5,5,5,5,5,4
329,313,15,1,1,0,1,7,5,4,5,8,7,5,4,5,6,5,5,5,5,6,5,5
329,314,14,1,1,0,1,7,6,6,6,8,6,3,5,8,6,7,7,6,6,6,6,6
329,315,13,1,1,0,.,7,8,4,6,7,5,5,5,5,6,6,5,6,5,5,4,4
329,316,12,1,1,1,1,9,10,2.5,6,10,10,2,5,7,6,7,10,6,6,8,8,8
329,317,11,1,1,0,1,6,5,5,5,7,4.5,6,5,5,7,8,5,4,4,6,6,6
329,318,10,1,1,0,1,7,5,5,6,6,1,3,3,4,8,9,5,9,6,6,7,6
330,301,10,1,1,0,2,10,1,1,1,10,2,5,1,1,4,3,4,1,9,4,3,1
330,302,9,1,6,0,1,10,1,1,1,10,1,1,1,4,4,4,1,6,5,2,1,1
330,303,8,1,1,0,1,8,1,9,1,9,1,7,2,8,4,3,2,8,6,1,1,1
330,304,7,1,1,0,3,10,1,1,1,7,1,4,4,1,4,6,3,7,7,2,5,2
330,305,6,1,1,0,4,10,3,1,3,10,7,1,4,1,6,7,10,6,10,8,6,7
330,306,5,1,1,0,2,10,1,1,1,8,2,1,1,5,9,9,4,7,10,4,3,3
330,307,4,1,1,0,3,10,1,4,1,7,1,10,2,4,5,3,1,7,5,1,1,1
330,308,3,1,1,0,3,10,1,1,3,10,2,1,5,6,8,8,6,6,10,2,2,6
330,309,2,1,1,0,1,10,1,1,1,9,1,7,1,1,6,5,1,7,7,1,1,1
330,310,1,1,2,0,1,10,1,1,1,10,1,1,1,6,9,7,7,7,10,7,7,1
330,311,18,1,1,0,3,10,1,1,1,10,1,1,1,2,2,5,2,8,9,3,2,2
330,312,17,1,1,0,2,10,7,1,5,10,6,1,1,5,3,6,5,1,8,3,1,2
330,313,16,1,1,0,4,10,2,1,1,10,1,1,1,2,6,7,7,4,9,5,5,4
330,314,15,1,1,0,5,10,1,1,1,10,4,1,2,3,7,10,5,6,7,8,8,7
330,315,14,1,1,0,4,10,6,1,1,10,1,1,1,2,7,4,3,8,7,7,2,5
330,316,13,1,1,1,5,10,3,3,3,10,8,2,7,4,2,5,9,1,10,9,6,1
330,317,12,1,1,0,3,10,6,1,1,10,1,1,1,4,2,5,8,1,10,7,3,7
330,318,11,1,1,0,2,10,1,1,1,10,1,1,1,1,5,5,1,7,10,1,1,1
331,301,11,1,1,0,3,10,7,1,10,10,9,1,9,6,10,10,7,8,10,8,7,8
331,302,10,1,1,0,2,10,8,7,9,10,9,8,9,7,8,8,8,8,8,7,5,6
331,303,9,1,1,0,3,10,8,3,7,10,9,4,8,8,7,8,6.5,9,10,7,7,6.5
331,304,8,1,1,0,3,10,7,4,8,9,6,5,3,7,9,8,6,8,10,7,6,6
331,305,7,1,1,0,3,10,3,4,7,10,9,1,10,6,5,7,9,9,9,9,3,6
331,306,6,1,1,0,2,10,8,2,9,10,9,1,9,8,9,10,9,10,10,8,6,7
331,307,5,1,1,0,2,10,9,7,9,10,7,9,10,10,9,8,9,10,9,6,4,3
331,308,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
331,309,3,1,1,0,2,10,8,3,10,10,7,6,7,7,9,10,9,9,10,7,4,5
331,310,2,1,1,0,3,10,9,1,8,10,7,1,8,8,6,8,4,10,9,9,8,8
331,311,1,1,1,0,3,10,8,7,9,10,10,8,7,8,9,9,7,10,10,8,7,7
331,312,18,1,1,0,1,10,10,9,9,8,8,8,8,7,7,7,7,7,7,7,4,2
331,313,17,1,4,1,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
331,314,16,1,1,0,2,10,9,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8
331,315,15,1,1,0,2,10,7,7,1,10,9,9,8,9,9,9,9,9,9,8,6,8
331,316,14,1,1,0,1,10,9,10,10,1,9,8,9,8,1,9,1,9,10,2,1,1
331,317,13,1,1,0,2,9,9,2,10,10,10,1,10,9,10,10,10,10,10,9,7,8
331,318,12,1,.,0,2,10,8,3,8,10,8,10,9,8,8,8,8,8,10,8,6,7
332,301,12,1,1,0,3,10,2,2,3,10,2,2,5,4,10,9,8,7,9,10,10,10
332,302,11,1,1,0,5,9,3,4,4,10,4,4,3,8,10,10,7,9,9,10,7,4
332,303,10,1,1,1,6,9,3,6,3,8,3,3,3,8,7,7,5,6,8,5,8,3
332,304,9,1,1,0,3,8,1,4,4,6,1,6,3,7,7,8,2,7,8,4,3,3
332,305,8,1,1,0,3,8,1,3,4,9,4,5,6,5,9,9,6,7,9,5,5,4
332,306,7,1,1,0,3,9,3,5,5,10,7,7,6,7,10,10,5,7,8,6,5,3
332,307,6,1,1,0,6,9,2,4,4,9,3,3,6,8,9,7,6,8,9,5,7,4
332,308,5,1,4,1,3,10,7,2,3,10,8,1,7,8,10,9,7,7,10,10,7,8
332,309,4,1,1,0,3,10,1,8,7,10,3,8,3,5,10,9,4,9,10,5,4,3
332,310,3,1,1,1,5,10,7,4,4,9,7,3,5,10,9,8,5,7,9,9,7,7
332,311,2,1,1,0,3,9,3,4,5,10,2,4,3,5,9,8,5,9,9,7,5,2
332,312,1,1,1,1,4,10,5,5,5,10,6,4,7,8,7,7,7,6,7,10,8,8
332,313,18,1,1,0,2,8,1,3,3,9,1,3,2,6,10,9,6,7,8,7,5,3
332,314,17,1,1,1,5,9,2,2,4,9,2,3,4,8,9,8,7,6,7,8,6,6
332,315,16,1,1,0,5,9,4,5,5,8,6,3,6,8,6,9,7,7,6,7,5,3
332,316,15,1,1,1,3,9,5,5,4,9,8,1,7,9,6,7,7,6,6,10,6,6
332,317,14,1,1,0,6,10,3,4,3,10,2,3,3,7,10,10,8,8,9,9,4,5
332,318,13,1,1,0,3,9,2,6,4,7,1,6,1,7,9,9,4,9,8,6,4,2
333,301,13,1,1,0,3,7,6,3,8,7,6,3,5,6,8,7,5,5,6,7,6,6
333,302,12,1,1,1,3,7,6,4,6,7,6,3,6,8,7,8,6,7,7,8,7,7
333,303,11,1,1,0,3,8,6,4,7,8,6,5,7,6,4,7,6,7,5,5,6,4
333,304,10,1,1,0,2,8,6,5,7,7,6,4,6,6,7,8,6,6,7,6,6,6
333,305,9,1,1,0,3,8,6,4,6,7,6,4,6,6,7,7,6,7,7,7,7,6
333,306,8,1,1,1,3,7,6,3,6,7,5,5,6,7,8,8,7,8,7,7,7,6
333,307,7,1,1,0,3,6,5,5,6,8,6,4,6,7,5,7,6,7,7,6,4,5
333,308,6,1,2,0,1,6,4,4,6,8,7,5,7,6,3,7,7,7,6,7,5,5
333,309,5,1,2,0,2,7,6,4,5,7,5,4,5,5,7,7,7,7,7,6,9,5
333,310,4,1,1,1,4,7,7,4,5,9,7,3,7,7,8,8,7,7,6,8,7,7
333,311,3,1,1,0,5,6,5,4,5,7,5,6,6,6,8,7,6,7,6,6,6,6
333,312,2,1,1,1,4,8,7,5,5,9,8,5,8,7,6,8,7,7,7,8,7,6
333,313,1,1,1,1,3,7,5,2,6,8,6,3,5,7,9,9,7,7,7,8,7,7
333,314,18,1,1,1,3,7,6,3,6,8,6,4,6,5,7,8,7,7,6,7,6,5
333,315,17,1,1,1,3,7,5,3,6,7,6,2,6,6,7,7,6,7,7,6,5,5
333,316,16,1,1,0,2,6,5,4,6,8,10,3,10,6,3,7,8,6,3,4,4,3
333,317,15,1,1,1,4,7,7,3,7,7,6,3,6,6,7,8,7,6,7,.,.,.
333,318,14,1,.,0,3,7,5,2,8,7,2,3,4,5,8,7,5,6,6,5,5,5
334,301,14,1,1,1,3,7,4,6,5,7,2,4,7,6,10,7,6,4,9,7,2,5
334,302,13,1,1,1,3,9,8,3,7,9,7,2,5,10,8,10,7,8,6,7,8,8
334,303,12,1,1,0,4,8,9,4,6,10,6,3,9,10,8,8,4,3,9,8,6,7
334,304,11,1,1,0,3,3,4,2,4,5,3,7,5,9,7,9,3,6,9,6,3,3
334,305,10,1,1,1,5,6,4,2,8,9,6,1,4,3,9,8,7,9,9,8,5,5
334,306,9,1,1,0,3,5,6,3,8,5,4,5,3,5,4,6,3,1,3,3,1,2
334,307,8,1,1,0,3,5,2,4,3,5,3,4,4,8,2,2,3,4,5,3,1,4
334,308,7,1,1,1,3,9,8,2,8,10,7,2,9,10,10,10,8,9,8,10,7,8
334,309,6,1,1,0,3,4,1,2,4,4,2,2,1,1,7,5,2,5,1,3,2,1
334,310,5,1,1,0,3,5,3,7,4,7,2,3,4,8,5,6,4,8,3,5,2,3
334,311,4,1,1,0,4,4,2,3,4,5,3,2,3,4,5,6,1,7,8,2,4,2
334,312,3,1,1,1,4,6,7,4,3,9,4,1,3,9,9,8,5,6,9,8,3,5
334,313,2,1,3,0,2,4,2,8,3,6,6,8,6,3,4,8,3,2,5,1,3,3
334,314,1,1,1,1,4,9,6,3,6,9,5,2,5,7,9,9,4,8,9,8,9,8
334,315,18,1,1,1,4,9,4,1,4,8,4,2,10,7,9,10,5,8,10,8,5,7
334,316,17,1,1,1,3,9,5,3,3,8,4,1,10,10,6,3,8,2,4,8,4,2
334,317,16,1,1,1,4,8,3,2,6,8,2,3,5,8,10,9,8,5,9,6,5,4
334,318,15,1,1,0,3,4,1,5,7,3,1,8,3,4,7,9,1,4,8,3,1,2
335,301,15,1,1,1,1,10,1,1,9,10,1,1,8,1,9,6,9,2,10,8,3,4
335,302,14,1,1,1,3,9,2,1,8,9,1,1,6,6,10,8,8,1,10,8,3,5
335,303,13,1,1,1,2,9,8,1,8,9,4,1,8,6,6,5,8,3,9,8,3,6
335,304,12,1,1,0,2,7,1,3,4,6,1,6,4,2,4,4,1,1,7,3,1,2
335,305,11,1,1,0,1,9,1,1,7,9,1,5,4,1,8,6,3,1,9,5,1,3
335,306,10,1,1,0,1,8,1,1,2,9,1,10,1,4,6,4,1,1,8,2,1,2
335,307,9,1,1,1,1,10,10,1,9,10,6,2,5,9,9,5,5,.,10,9,2,8
335,308,8,1,3,1,1,10,10,1,10,10,10,1,10,10,10,10,10,10,10,10,10,10
335,309,7,1,1,0,1,8,1,1,1,8,2,8,2,1,7,8,1,2,8,5,1,1
335,310,6,1,1,1,6,9,1,1,8,9,1,1,5,6,9,8,3,4,10,9,1,4
335,311,5,1,1,0,3,9,1,2,8,9,2,3,2,3,9,6,3,2,10,5,1,1
335,312,4,1,1,.,6,8,1,3,7,9,1,2,3,6,7,8,3,2,9,7,3,5
335,313,3,1,1,1,2,9,3,1,9,9,4,2,4,6,10,8,8,5,10,8,5,6
335,314,2,1,2,1,2,10,4,1,8,10,5,1,8,7,9,9,9,8,9,8,9,7
335,315,1,1,1,0,2,7,1,3,4,6,1,5,2,7,5,7,2,.,9,6,2,2
335,316,18,1,1,1,4,8,7,9,4,8,10,1,10,10,5,3,4,2,7,6,2,4
335,317,17,1,1,0,1,10,1,1,7,10,4,1,6,6,9,6,10,5,10,7,2,5
335,318,16,1,1,0,1,10,1,1,10,5,1,2,1,1,9,8,1,4,10,5,1,1
336,301,15,1,1,1,5,9,7,2,6,10,9,4,6,7,9,9,7,4,8,9,9,9
336,302,14,1,1,0,4,10,3,4,7,10,3,5,7,8,9,9,7,9,7,6,6,5
336,303,13,1,1,1,4,8,4,7,8,6,4,3,9,7,5,7,7,8,8,5,5,4
336,304,12,1,1,1,4,10,3,6,8,8,3,7,7,9,10,9,3,9,8,7,5,6
336,305,11,1,1,0,4,10,5,2,8,10,7,4,7,6,9,9,9,7,9,10,8,9
336,306,10,1,1,0,1,8,7,3,8,9,8,6,9,6,7,8,7,6,8,6,8,5
336,307,9,1,1,0,5,8,5,3,7,4,4,7,7,9,5,9,5,9,7,8,5,5
336,308,8,1,1,1,4,8,6,3,8,10,7,2,8,9,7,9,9,9,9,9,7,6
336,309,7,1,2,0,1,7,1,3,10,7,3,9,4,4,8,8,6,8,8,6,6,3
336,310,6,1,1,0,1,10,3,2,8,10,8,2,8,9,8,8,8,8,9,9,10,8
336,311,5,1,1,1,3,9,3,3,7,10,5,5,8,9,10,10,8,9,9,8,8,10
336,312,4,1,1,1,3,8,8,3,7,8,7,3,8,9,6,9,4,9,6,7,7,7
336,313,3,1,1,0,4,9,5,7,9,9,5,8,7,9,10,9,6,7,7,6,7,8
336,314,2,1,1,1,5,10,6,8,6,7,5,8,8,8,10,10,9,9,8,7,8,8
336,315,1,1,1,1,3,9,4,7,8,9,8,3,8,10,9,9,8,9,9,8,9,9
336,316,18,1,1,1,4,8,4,9,7,7,3,5,10,9,6,7,7,9,7,5,6,4
336,317,17,1,1,0,3,9,4,7,6,9,4,3,3,9,7,9,9,7,8,6,6,6
336,318,16,1,1,0,5,9,6,7,9,8,2,9,5,9,10,10,7,9,8,4,7,7
337,301,17,1,1,0,2,10,1,1,6,9,2,2,7,6,7,8,7,8,7,5,4,4
337,302,16,1,1,0,5,10,3,2,6,10,3,2,7,8,9,9,8,9,8,7,4,4
337,303,15,1,1,0,5,10,3,2,7,10,3,2,7,7,8,9,9,8,9,7,6,5
337,304,14,1,1,0,2,10,2,2,6,9,2,3,6,5,8,8,6,9,8,6,5,4
337,305,13,1,1,0,2,10,2,2,6,10,3,2,6,5,8,9,8,9,9,7,5,4
337,306,12,1,1,0,2,10,2,2,6,10,3,2,7,6,9,9,8,9,9,7,3,3
