spkr,alter,hate,work,love,sex,drink,food,negemo,swear,sympathy,negate,hedge,meta,ntri,like,imean,youknow,you,appr,agree,restart,interrupt,mimiccontentraw,mimicfunc,mimicswbdnorm,mimicswbdcontnorm,laughmimic,rate,ratecorrelation,initlaugh,midlaugh,totalwords,i,uh,um,question,totalturns
109,122,0,4,0,0,0,0,2,0,0,3,4,0,0,3,0,0,5,0,0,0,0,38,22,0.112827,0.162265,0,3.197772,0.093519,0,0,346,21,0,0,12,44
122,109,0,4,1,0,0,0,1,0,0,4,2,0,0,2,0,0,1,0,0,0,0,37,27,0.043069,0.055007,0,2.308282,0.068277,0,0,246,13,0,0,8,44
109,132,0,5,2,0,0,0,3,0,0,2,1,0,1,3,0,1,1,0,0,5,0,16,8,0.098747,0.181019,0,2.954532,0.009054,1,0,324,20,5,0,10,49
132,109,0,4,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,18,13,0.059099,0.000346,0,1.950117,0.147213,4,2,140,15,1,1,4,49
110,122,0,3,0,0,2,0,1,0,0,4,2,0,0,9,0,1,10,2,0,12,2,24,16,0.008897,0.011590,0,2.256097,-0.378474,1,3,380,8,1,6,8,57
122,110,0,2,1,0,0,0,0,0,1,4,2,1,0,2,2,3,0,2,0,11,3,22,16,0.124629,0.152426,1,1.841162,0.022448,0,3,326,8,4,1,4,58
110,132,0,8,1,0,0,0,1,0,0,8,6,1,0,9,3,2,4,3,0,17,0,20,14,0.046606,0.093884,2,2.096244,-0.095583,2,5,438,24,2,2,15,67
132,110,0,3,0,0,0,0,3,0,0,6,3,0,0,1,0,0,3,1,0,4,5,27,22,0.002203,0.000982,1,1.937029,0.168505,4,1,255,19,1,2,9,66
111,122,0,24,0,0,0,0,1,0,0,10,12,1,0,15,0,1,16,2,0,0,0,66,49,0.002960,0.002916,0,3.579715,0.585055,0,0,562,18,0,0,14,36
122,111,0,14,0,0,0,0,1,0,0,7,1,0,0,1,2,1,4,0,1,0,1,45,34,0.005054,0.003836,0,3.101212,0.024931,0,0,275,16,0,0,3,35
111,132,0,22,0,0,0,2,1,0,0,16,8,0,0,36,2,7,9,0,0,30,1,35,25,0.061959,0.083589,2,2.654225,-0.269372,3,2,810,29,18,1,12,74
132,111,0,6,0,0,0,0,3,0,0,4,0,0,0,2,0,1,4,0,0,5,1,48,40,0.006632,0.007515,2,2.108463,-0.069711,4,1,303,20,0,0,13,74
112,122,0,5,0,0,0,0,1,0,0,3,0,1,0,1,0,4,6,0,0,0,0,11,6,0.044646,0.065994,0,2.275895,-0.007099,0,0,218,18,0,0,4,23
122,112,0,8,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,17,9,0.086319,0.193067,0,2.687400,0.426161,0,0,167,6,0,0,3,23
112,132,0,7,0,0,0,0,0,0,0,5,1,0,0,3,0,4,10,0,0,5,1,25,15,0.133400,0.304987,0,2.310935,0.016632,0,0,278,9,0,0,5,58
132,112,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,1,4,1,0,0,0,10,6,0.046782,0.106358,0,2.802968,0.273425,4,1,221,11,1,0,13,57
113,122,0,8,0,0,0,0,3,0,0,4,6,0,0,9,0,0,3,3,0,0,0,33,23,0.007698,0.010249,0,2.724417,-0.225835,0,0,350,14,0,0,10,32
122,113,0,4,1,0,0,0,0,0,0,11,1,0,0,1,0,0,1,0,0,0,1,17,13,0.009540,0.014914,0,2.702600,-0.087938,0,0,219,13,0,0,10,33
113,133,0,7,0,0,0,0,1,0,0,6,10,0,0,25,0,1,3,1,0,10,10,21,18,0.000930,0.001019,0,2.502843,-0.296994,0,0,539,20,3,2,16,84
133,113,0,5,0,0,0,0,4,0,0,12,6,0,0,11,0,0,1,0,0,11,1,33,28,0.179126,0.564158,0,2.336574,-0.347111,1,4,511,34,0,3,11,83
114,122,0,4,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,1,14,9,0.015511,0.032080,0,2.061206,0.065642,0,0,243,12,1,0,11,39
