0,3,2,2,0,1,1,1,0,1,0,1,0,0,3,1,0,0,6,0,0,1,1,0,2,1,2,2,0,0,0,0,3,1,5,0,0,0,0,1,7,3,0,3,0,0,0,0,0,0,9,0,0,0,1,2,0,2,0,1,1,1,0,0,102,121,True
0,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,2,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,1,1,0,1,0,0,0,0,0,0,102,121,False
0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,6,0,0,0,1,8,0,0,0,0,1,1,0,0,102,122,True
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,2,0,3,0,0,0,1,1,2,0,1,2,0,1,0,0,1,0,2,0,0,0,1,4,0,0,0,0,1,0,0,0,102,122,False
0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,1,0,1,0,1,0,1,3,0,1,2,0,0,0,0,6,1,1,2,0,0,0,0,1,0,6,0,0,0,2,8,0,0,0,0,2,1,0,0,102,123,True
0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,6,0,0,2,0,0,1,0,0,2,0,0,0,0,5,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,11,0,0,0,2,3,0,0,0,0,1,0,0,0,102,123,False
0,2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,3,0,0,5,0,3,1,0,0,0,0,4,0,1,2,0,1,0,1,1,0,5,0,0,0,2,8,0,0,1,0,2,1,0,0,102,124,True
0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,102,124,False
0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,3,0,0,1,0,2,0,0,6,0,5,0,0,0,0,0,5,0,1,3,0,1,0,0,0,0,8,0,0,0,1,4,0,0,0,0,0,1,0,0,102,125,True
0,1,2,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,3,0,3,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,102,125,False
0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,2,0,1,0,0,1,0,1,5,0,4,1,0,0,1,1,1,0,1,3,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,1,2,0,0,102,126,True
0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,3,0,0,2,5,0,2,1,0,1,0,0,0,0,6,0,3,1,0,0,0,0,5,1,0,5,0,1,0,0,0,0,9,0,0,0,1,10,0,0,0,0,2,1,0,0,102,126,False
